,arts_entertainment,building,education,event,food,nightlife,parks_outdoors,shops,travel,Favourite
Chalk Farm,0.03333333333333333,0.05,0.0,0.0,0.43333333333333335,0.18333333333333326,0.08333333333333333,0.21666666666666667,0.0,1.0
Charing Cross,0.18,0.04,0.0,0.0,0.4,0.1,0.1,0.1,0.08,0.0
Charlton,0.07692307692307693,0.0,0.0,0.0,0.38461538461538464,0.0,0.07692307692307693,0.38461538461538464,0.07692307692307693,0.0
Chase Cross,0.0,0.0,0.0,0.0,0.6,0.2,0.0,0.0,0.2,0.0
Cheam,0.0,0.0,0.0,0.0,0.4166666666666667,0.16666666666666666,0.0,0.3333333333333333,0.08333333333333333,0.0
Chelsea,0.017857142857142856,0.03571428571428571,0.0,0.0,0.6607142857142857,0.05357142857142857,0.08928571428571429,0.125,0.017857142857142856,1.0
Chelsfield,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0
Chessington,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.4,0.4,0.0
Childs Hill,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.3333333333333333,0.16666666666666666,1.0
Chinatown,0.18,0.01,0.0,0.0,0.53,0.11,0.03,0.11,0.03,0.0
Chinbrook,0.4,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.0,0.0
Chingford,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,0.0,0.16666666666666666,0.16666666666666666,0.0
Chislehurst,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0
Chiswick,0.017543859649122806,0.0,0.0,0.0,0.5263157894736842,0.10526315789473684,0.08771929824561403,0.2280701754385965,0.03508771929824561,1.0
Church End,0.0,0.0,0.0,0.0,0.7741935483870968,0.0967741935483871,0.0,0.12903225806451613,0.0,1.0
Clapham,0.014705882352941175,0.029411764705882356,0.0,0.0,0.6029411764705882,0.17647058823529413,0.05882352941176471,0.1176470588235294,0.0,0.0
Clerkenwell,0.07,0.02,0.0,0.0,0.53,0.22,0.07,0.07,0.02,0.0
Cockfosters,0.0,0.0,0.0,0.0,0.625,0.125,0.0,0.25,0.0,1.0
Colindale,0.0,0.1,0.0,0.0,0.4,0.0,0.1,0.4,0.0,1.0
Collier Row,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0
Colliers Wood,0.0,0.0,0.0,0.0,0.21428571428571427,0.07142857142857142,0.0,0.5714285714285714,0.14285714285714285,0.0
Colney Hatch,0.0,0.1111111111111111,0.0,0.0,0.3333333333333333,0.0,0.2222222222222222,0.3333333333333333,0.0,1.0
Colyers,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.8,0.0,0.0
Coney Hall,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.4,0.0,0.0
Coombe,0.0,0.04,0.0,0.0,0.6,0.16,0.0,0.16,0.04,0.0
Coulsdon,0.0,0.0,0.0,0.0,0.125,0.125,0.0,0.75,0.0,0.0
Covent Garden,0.15,0.03,0.0,0.0,0.5,0.02,0.01,0.26,0.03,1.0
Cowley,0.0,0.0,0.0,0.0,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.0,0.0,0.0
Cranford,0.0,0.0,0.0,0.0,0.5,0.0,0.1,0.2,0.2,0.0
Cranham,0.0,0.0,0.0,0.0,0.6,0.0,0.2,0.2,0.0,0.0
Crayford,0.0625,0.0,0.0,0.0,0.3125,0.0625,0.0,0.4375,0.125,0.0
Creekmouth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Crews Hill,0.25,0.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0
Cricklewood,0.0,0.0,0.0,0.0,0.5925925925925926,0.07407407407407407,0.0,0.1851851851851852,0.14814814814814814,1.0
Crofton Park,0.1111111111111111,0.05555555555555555,0.0,0.0,0.3888888888888889,0.1111111111111111,0.0,0.2222222222222222,0.1111111111111111,0.0
Crook Log,0.14285714285714285,0.2857142857142857,0.0,0.0,0.42857142857142855,0.14285714285714285,0.0,0.0,0.0,0.0
Crossness,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.0,0.0
Crouch End,0.07547169811320754,0.05660377358490566,0.0,0.0,0.6037735849056604,0.11320754716981132,0.0,0.1320754716981132,0.018867924528301886,0.0
Croydon,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.6,0.2,0.0
Crystal Palace,0.09090909090909093,0.045454545454545456,0.0,0.0,0.18181818181818185,0.0,0.3181818181818182,0.09090909090909093,0.2727272727272727,0.0
Cubitt Town,0.0,0.0,0.0,0.0,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.2222222222222222,0.0,0.0
Cudham,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
Custom House,0.03448275862068965,0.0,0.0,0.0,0.4827586206896552,0.06896551724137931,0.06896551724137931,0.0,0.3448275862068966,0.0
Dagenham,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.75,0.0,0.0
Dalston,0.029411764705882356,0.029411764705882356,0.0,0.0,0.5294117647058824,0.14705882352941174,0.029411764705882356,0.17647058823529413,0.05882352941176471,0.0
De Beauvoir Town,0.0,0.0,0.0,0.0,0.5277777777777778,0.19444444444444445,0.1111111111111111,0.16666666666666666,0.0,0.0
Denmark Hill,0.0,0.05263157894736842,0.0,0.0,0.5263157894736842,0.21052631578947367,0.05263157894736842,0.10526315789473684,0.05263157894736842,1.0
Deptford,0.06,0.08,0.0,0.0,0.36,0.18,0.02,0.16,0.14,0.0
Derry Downs,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0
Dollis Hill,0.14285714285714285,0.0,0.0,0.0,0.42857142857142855,0.2857142857142857,0.0,0.14285714285714285,0.0,0.0
Downe,0.25,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0
Downham,0.0,0.25,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0
Dulwich,0.25,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,1.0
Ealing,0.029411764705882356,0.05882352941176471,0.0,0.0,0.4705882352941176,0.14705882352941174,0.05882352941176471,0.05882352941176471,0.17647058823529413,0.0
Earls Court,0.031746031746031744,0.015873015873015872,0.0,0.0,0.42857142857142855,0.06349206349206349,0.06349206349206349,0.07936507936507936,0.31746031746031744,1.0
Earlsfield,0.03448275862068965,0.03448275862068965,0.0,0.0,0.5172413793103449,0.2413793103448276,0.03448275862068965,0.10344827586206896,0.03448275862068965,0.0
East Barnet,0.0,0.0,0.0,0.0,0.4,0.2,0.0,0.4,0.0,1.0
East Bedfont,0.0,0.0,0.0,0.0,0.5714285714285714,0.14285714285714285,0.0,0.2857142857142857,0.0,0.0
East Dulwich,0.07142857142857142,0.0,0.0,0.0,0.2857142857142857,0.07142857142857142,0.14285714285714285,0.21428571428571427,0.21428571428571427,1.0
East Finchley,0.0,0.0,0.0,0.0,0.4444444444444444,0.2222222222222222,0.0,0.2222222222222222,0.1111111111111111,1.0
East Ham,0.0,0.06666666666666668,0.0,0.0,0.3333333333333333,0.13333333333333333,0.13333333333333333,0.3333333333333333,0.0,0.0
East Sheen,0.0,0.0,0.0,0.0,0.5652173913043478,0.17391304347826084,0.043478260869565216,0.21739130434782608,0.0,0.0
East Wickham,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0
Eden Park,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0
Edgware,0.0,0.0,0.0,0.0,0.9285714285714286,0.0,0.0,0.07142857142857142,0.0,1.0
Edmonton,0.0625,0.0,0.0,0.0,0.4375,0.0625,0.0625,0.3125,0.0625,0.0
Eel Pie Island,0.021739130434782608,0.021739130434782608,0.0,0.0,0.5217391304347826,0.13043478260869565,0.06521739130434782,0.1956521739130435,0.043478260869565216,0.0
Elephant and Castle,0.06521739130434782,0.06521739130434782,0.021739130434782608,0.0,0.4782608695652174,0.15217391304347827,0.10869565217391304,0.043478260869565216,0.06521739130434782,1.0
Elm Park,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.42857142857142855,0.0,0.0
Elmers End,0.125,0.0,0.0,0.0,0.75,0.125,0.0,0.0,0.0,0.0
Elmstead,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Eltham,0.06666666666666668,0.03333333333333333,0.0,0.0,0.3333333333333333,0.16666666666666666,0.0,0.36666666666666653,0.03333333333333333,0.0
Emerson Park,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Enfield Highway,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.25,0.0,0.0
Enfield Lock,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.5,0.0
Enfield Town,0.016129032258064516,0.08064516129032258,0.0,0.0,0.3709677419354839,0.08064516129032258,0.03225806451612903,0.3870967741935484,0.03225806451612903,0.0
Enfield Wash,0.0,0.06666666666666668,0.0,0.0,0.4666666666666667,0.13333333333333333,0.06666666666666668,0.26666666666666666,0.0,0.0
Erith,0.0,0.09090909090909093,0.0,0.0,0.2727272727272727,0.0,0.09090909090909093,0.4545454545454545,0.09090909090909093,0.0
Falconwood,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.75,0.0,0.0
Feltham,0.06666666666666668,0.0,0.0,0.0,0.13333333333333333,0.0,0.0,0.6,0.2,0.0
Finchley,0.0,0.25,0.0,0.0,0.75,0.0,0.0,0.0,0.0,1.0
Finsbury,0.07,0.02,0.0,0.0,0.53,0.22,0.07,0.07,0.02,0.0
Finsbury Park,0.05555555555555555,0.0,0.0,0.0,0.3333333333333333,0.05555555555555555,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.0
Fitzrovia,0.01,0.01,0.0,0.0,0.69,0.08,0.01,0.14,0.06,1.0
Foots Cray,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.5,0.0,0.0
Forest Gate,0.0,0.0,0.0,0.0,0.5,0.08333333333333333,0.0,0.25,0.16666666666666666,0.0
Forestdale,0.0,0.0,0.0,0.0,0.0,0.25,0.75,0.0,0.0,0.0
Fortis Green,0.029411764705882356,0.0,0.0,0.0,0.4411764705882353,0.14705882352941174,0.029411764705882356,0.2058823529411765,0.14705882352941174,0.0
Freezywater,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.2222222222222222,0.1111111111111111,0.0
Friern Barnet,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,1.0
Frognal,0.07692307692307693,0.05128205128205128,0.0,0.0,0.6153846153846154,0.05128205128205128,0.0,0.1794871794871795,0.02564102564102564,1.0
Fulham,0.1111111111111111,0.04444444444444445,0.0,0.0,0.4666666666666667,0.13333333333333333,0.011111111111111113,0.18888888888888888,0.04444444444444445,1.0
Fulwell,0.0,0.0,0.0,0.0,0.5,0.14285714285714285,0.14285714285714285,0.07142857142857142,0.14285714285714285,0.0
Gallows Corner,0.0,0.0,0.0,0.0,0.5555555555555556,0.0,0.0,0.4444444444444444,0.0,0.0
Gants Hill,0.0,0.0,0.0,0.0,0.6,0.1,0.0,0.2,0.1,0.0
Gidea Park,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Gipsy Hill,0.0,0.0,0.0,0.0,0.8333333333333334,0.04166666666666666,0.04166666666666666,0.04166666666666666,0.04166666666666666,0.0
